frame,whole_area,white_area,black_area,white_area_ratio
309,3410268,78733,3331535,2.308704184
310,3410268,89098,3321170,2.612639241
311,3410268,92302,3317966,2.706590802
312,3410268,87390,3322878,2.562555201
313,3410268,80848,3329420,2.37072277
314,3410268,80785,3329483,2.368875408
315,3410268,76974,3333294,2.25712466
316,3410268,62976,3347292,1.846658386
317,3410268,91516,3318752,2.68354276
318,3410268,61128,3349140,1.792469096
319,3410268,70511,3339757,2.067608763
320,3410268,104793,3305475,3.072867
321,3410268,121501,3288767,3.56279917
322,3410268,108505,3301763,3.181714751
323,3410268,153506,3256762,4.501288462
324,3410268,96586,3313682,2.832211427
325,3410268,88959,3321309,2.608563315
326,3410268,84253,3326015,2.470568296
327,3410268,78541,3331727,2.303074128
328,3410268,76676,3333592,2.248386344
329,3410268,97864,3312404,2.869686488
330,3410268,82053,3328215,2.406057237
331,3410268,108218,3302050,3.17329899
332,3410268,97069,3313199,2.846374537
333,3410268,85408,3324860,2.504436601
334,3410268,90735,3319533,2.660641334
335,3410268,83650,3326618,2.452886401
336,3410268,86041,3324227,2.522998193
337,3410268,80001,3330267,2.345886012
338,3410268,86912,3323356,2.548538707
339,3410268,113947,3296321,3.341291652
340,3410268,95033,3315235,2.786672484
341,3410268,68052,3342216,1.995502993
342,3410268,58639,3351629,1.71948363
343,3410268,77345,3332923,2.26800357
344,3410268,71305,3338963,2.09089139
345,3410268,57526,3352742,1.686846899
346,3410268,46852,3363416,1.37385097
347,3410268,47971,3362297,1.406663641
348,3410268,56427,3353841,1.654620693
349,3410268,63277,3346991,1.855484672
350,3410268,97245,3313023,2.851535422
351,3410268,111291,3298977,3.26340921
352,3410268,112186,3298082,3.289653482
353,3410268,88897,3321371,2.606745276
354,3410268,104298,3305970,3.058352012
355,3410268,114589,3295679,3.360117152
356,3410268,84808,3325460,2.486842676
357,3410268,68547,3341721,2.010017981
358,3410268,62813,3347455,1.841878703
359,3410268,52743,3357525,1.546593992
360,3410268,46073,3364195,1.351008191
361,3410268,58155,3352113,1.705291197
362,3410268,67774,3342494,1.987351141
363,3410268,74788,3335480,2.193024126
364,3410268,46586,3363682,1.366050997
365,3410268,57295,3352973,1.680073238
366,3410268,60191,3350077,1.76499325
367,3410268,52557,3357711,1.541139875
368,3410268,42660,3367608,1.25092808
369,3410268,49523,3360745,1.45217326
370,3410268,44120,3366148,1.293739964
371,3410268,64807,3345461,1.900349181
372,3410268,80846,3329422,2.370664124
373,3410268,62605,3347663,1.835779475
374,3410268,42922,3367346,1.25861076
375,3410268,71241,3339027,2.089014705
376,3410268,72297,3337971,2.119980013
377,3410268,64640,3345628,1.895452205
378,3410268,45935,3364333,1.346961588
379,3410268,56065,3354203,1.644005691
380,3410268,69818,3340450,2.047287779
381,3410268,67706,3342562,1.985357163
382,3410268,50645,3359623,1.4850739
383,3410268,42855,3367413,1.256646105
384,3410268,35067,3375201,1.028276957
385,3410268,56395,3353873,1.65368235
386,3410268,38529,3371739,1.129793905
387,3410268,42099,3368169,1.23447776
388,3410268,53820,3356448,1.578175088
389,3410268,71519,3338749,2.097166557
390,3410268,55349,3354919,1.623010274
391,3410268,57992,3352276,1.700511514
392,3410268,73200,3337068,2.146458871
393,3410268,49690,3360578,1.457070236
394,3410268,44319,3365949,1.299575283
395,3410268,46875,3363393,1.374525404
396,3410268,47975,3362293,1.406780933
397,3410268,48958,3361310,1.435605647
398,3410268,77884,3332384,2.28380878
399,3410268,53779,3356489,1.576972836
400,3410268,67411,3342857,1.976706816
401,3410268,59013,3351255,1.73045051
402,3410268,48294,3361974,1.416135037
403,3410268,46404,3363864,1.360714173
404,3410268,54187,3356081,1.588936705
405,3410268,61380,3348888,1.799858545
406,3410268,79445,3330823,2.329582308
407,3410268,52127,3358141,1.528530896
408,3410268,52780,3357488,1.547678951
409,3410268,56162,3354106,1.646850042
410,3410268,92856,3317412,2.722835859
411,3410268,78414,3331854,2.29935008
412,3410268,33051,3377217,0.969161368
413,3410268,42824,3367444,1.255737086
414,3410268,49971,3360297,1.465310058
415,3410268,28022,3382246,0.821694952
416,3410268,32283,3377985,0.946641144
417,3410268,36135,3374133,1.059594143
418,3410268,26899,3383369,0.788764989
419,3410268,74904,3335364,2.196425618
420,3410268,76815,3333453,2.25246227
421,3410268,46286,3363982,1.357254034
422,3410268,68254,3342014,2.001426281
423,3410268,65410,3344858,1.918031076
424,3410268,36004,3374264,1.055752803
425,3410268,33618,3376650,0.985787627
426,3410268,55247,3355021,1.620019306
427,3410268,36144,3374124,1.059858052
428,3410268,29799,3380469,0.873802294
429,3410268,47320,3362948,1.387574232
430,3410268,24846,3385422,0.728564441
431,3410268,33371,3376897,0.978544795
432,3410268,45896,3364372,1.345817983
433,3410268,34660,3375608,1.016342411
434,3410268,40696,3369572,1.193337298
435,3410268,71927,3338341,2.109130426
436,3410268,55765,3354503,1.635208728
437,3410268,71315,3338953,2.091184622
438,3410268,82370,3327898,2.415352694
439,3410268,56423,3353845,1.6545034
440,3410268,59288,3350980,1.738514392
441,3410268,69897,3340371,2.049604313
442,3410268,32505,3377763,0.953150896
443,3410268,48088,3362180,1.410094456
444,3410268,82442,3327826,2.417463965
445,3410268,36288,3373980,1.064080594
446,3410268,29343,3380925,0.86043091
447,3410268,47082,3363186,1.380595308
448,3410268,32739,3377529,0.960012527
449,3410268,36003,3374265,1.05572348
450,3410268,56705,3353563,1.662772545
451,3410268,34103,3376165,1.000009383
452,3410268,26060,3384208,0.764162817
453,3410268,70138,3340130,2.056671206
454,3410268,37638,3372630,1.103666926
455,3410268,57516,3352752,1.686553667
456,3410268,57253,3353015,1.678841663
457,3410268,32282,3377986,0.946611821
458,3410268,36949,3373319,1.083463235
459,3410268,39142,3371126,1.147769032
460,3410268,22667,3387601,0.66466917
461,3410268,33656,3376612,0.986901909
462,3410268,44417,3365851,1.302448957
463,3410268,14363,3395905,0.421169245
464,3410268,16258,3394010,0.476736726
465,3410268,60687,3349581,1.779537561
466,3410268,16739,3393529,0.490841189
467,3410268,21816,3388452,0.639715119
468,3410268,47719,3362549,1.399274192
469,3410268,46174,3364094,1.353969835
470,3410268,39310,3370958,1.152695331
471,3410268,58134,3352134,1.70467541
472,3410268,45331,3364937,1.32925037
473,3410268,59227,3351041,1.736725677
474,3410268,53230,3357038,1.560874395
475,3410268,36211,3374057,1.061822707
476,3410268,46081,3364187,1.351242776
477,3410268,57915,3352353,1.698253627
478,3410268,36359,3373909,1.066162542
479,3410268,44613,3365655,1.308196306
480,3410268,66124,3344144,1.938967847
481,3410268,23477,3386791,0.688420969
482,3410268,41171,3369097,1.207265822
483,3410268,51819,3358449,1.519499347
484,3410268,30956,3379312,0.907729246
485,3410268,29441,3380827,0.863304585
486,3410268,59542,3350726,1.745962487
487,3410268,31874,3378394,0.934647951
488,3410268,30893,3379375,0.905881884
489,3410268,52696,3357572,1.545215801
490,3410268,27283,3382985,0.800025101
491,3410268,31269,3378999,0.91690741
492,3410268,57927,3352341,1.698605505
493,3410268,31180,3379088,0.914297645
494,3410268,62007,3348261,1.818244197
495,3410268,76316,3333952,2.237829989
496,3410268,49672,3360596,1.456542418
497,3410268,101868,3308400,2.987096615
498,3410268,76393,3333875,2.240087876
499,3410268,65637,3344631,1.924687444
500,3410268,73323,3336945,2.150065625
501,3410268,62491,3347777,1.83243663
502,3410268,30792,3379476,0.90292024
503,3410268,40023,3370245,1.173602778
504,3410268,51925,3358343,1.522607607
505,3410268,34060,3376208,0.998748485
506,3410268,41077,3369191,1.20450944
507,3410268,103811,3306457,3.04407161
508,3410268,42883,3367385,1.257467155
509,3410268,35942,3374326,1.053934764
510,3410268,63505,3346763,1.862170363
511,3410268,33748,3376520,0.989599644
512,3410268,29286,3380982,0.858759488
513,3410268,51247,3359021,1.502726472
514,3410268,26770,3383498,0.784982295
515,3410268,24029,3386239,0.70460738
516,3410268,39406,3370862,1.155510359
517,3410268,28600,3381668,0.838643766
518,3410268,48871,3361397,1.433054528
519,3410268,55350,3354918,1.623039597
520,3410268,25799,3384469,0.756509459
521,3410268,33098,3377170,0.970539559
522,3410268,59303,3350965,1.738954241
523,3410268,41287,3368981,1.210667314
524,3410268,41243,3369025,1.209377093
525,3410268,49587,3360681,1.454049946
526,3410268,46837,3363431,1.373411122
527,3410268,90223,3320045,2.645627851
528,3410268,90503,3319765,2.653838349
529,3410268,57330,3352938,1.68109955
530,3410268,52961,3357307,1.552986452
531,3410268,74613,3335655,2.187892564
532,3410268,44106,3366162,1.293329439
533,3410268,56727,3353541,1.663417655
534,3410268,58872,3351396,1.726315938
535,3410268,36498,3373770,1.070238468
536,3410268,45109,3365159,1.322740617
537,3410268,66654,3343614,1.954509147
538,3410268,68740,3341528,2.01567736
539,3410268,19638,3390630,0.575849171
540,3410268,28192,3382076,0.826679897
541,3410268,43821,3366447,1.284972325
542,3410268,38331,3371937,1.123987909
543,3410268,51831,3358437,1.519851226
544,3410268,42731,3367537,1.253010027
545,3410268,34442,3375826,1.009949951
546,3410268,60484,3349784,1.77358495
547,3410268,46436,3363832,1.361652515
548,3410268,27467,3382801,0.805420571
549,3410268,39537,3370731,1.159351699
550,3410268,80131,3330137,2.34969803
551,3410268,43891,3366377,1.287024949
552,3410268,59394,3350874,1.741622653
553,3410268,51617,3358651,1.513576059
554,3410268,45320,3364948,1.328927814
555,3410268,55892,3354376,1.638932776
556,3410268,62181,3348087,1.823346435
557,3410268,45699,3364569,1.340041311
